Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-08415,Laiva Art Walk,Otro,Tradicional,2R STANDARD,8964009.05857143,79327.51379266752,113,2 Recámaras,2.0,1.0,3.0,0.0,21.0,3.0,0.14285714285714285
CAB-05699,Colorado Hills Fase 1,Si Soluciones Inmobiliarias,Tradicional,96.14,4972715.720714286,51799.12209077381,96,2 Recámaras,2.0,1.0,5.0,1.0,49.0,4.0,0.08163265306122448
CAB-05699,Colorado Hills Fase 1,Si Soluciones Inmobiliarias,Tradicional,121.87,4979860.019103225,41155.867926472936,121,2 Recámaras,2.0,1.0,5.0,0.0,49.0,5.0,0.10204081632653061
CAB-05699,Colorado Hills Fase 1,Si Soluciones Inmobiliarias,Tradicional,132.38,5257798.002356557,39831.803048155736,132,3 Recámaras,2.0,1.0,20.0,0.0,49.0,20.0,0.40816326530612246
CAB-05699,Colorado Hills Fase 1,Si Soluciones Inmobiliarias,Tradicional,133.04,5798572.760468749,43598.29143209586,133,3 Recámaras,2.0,1.0,5.0,0.0,49.0,5.0,0.10204081632653061
CAB-05693,One Marina Place,Baja Capstone,Garden House,Type Three Garden,13004770.93954717,77872.87987752796,167,2 Recámaras,2.0,1.0,6.0,5.0,28.0,1.0,0.03571428571428571
CAB-05693,One Marina Place,Baja Capstone,Penthouse,Type One PH,15190237.796001997,88315.33602326742,172,2 Recámaras,2.0,1.0,10.0,10.0,28.0,0.0,0.0
CAB-05693,One Marina Place,Baja Capstone,Tradicional,Type One + Jacuzzi,10472093.622867068,80554.56632974668,130,2 Recámaras,2.0,1.0,15.0,15.0,28.0,0.0,0.0
CAB-05693,One Marina Place,Baja Capstone,Tradicional,Type Two Standard,11934750.951834902,101141.95721893985,118,2 Recámaras,2.0,1.0,11.0,9.0,28.0,2.0,0.07142857142857142
CAB-05681,Punto Nima,Fortem Capital,Garden House,GH-01,10300830.62117647,83746.59041606887,123,2 Recámaras,2.0,1.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Garden House,GH-02,10914818.678235292,82066.30585139318,133,2 Recámaras,2.0,1.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Garden House,GH-03,12132503.151764706,77772.45610105581,156,2 Recámaras,2.0,1.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Garden House,GH-04,11522705.374375,78922.6395505137,146,2 Recámaras,2.0,1.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Penthouse,PH-01,12869923.2625,79443.97075617283,162,2 Recámaras,2.0,2.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Penthouse,PH-02- PH-05,12759227.372222222,78760.6627914952,162,2 Recámaras,2.0,2.0,5.0,0.0,58.0,5.0,0.08620689655172414
CAB-05681,Punto Nima,Fortem Capital,Penthouse,PH-06,13588823.51,91200.1577852349,149,3 Recámaras,3.0,2.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Penthouse,PH-07,13459985.127066668,91564.52467392292,147,3 Recámaras,3.0,2.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Penthouse,PH-08,15860738.775,73429.34618055556,216,3 Recámaras,3.0,2.0,1.0,0.0,58.0,1.0,0.017241379310344827
CAB-05681,Punto Nima,Fortem Capital,Tradicional,309-509,9142739.344800001,73141.9147584,125,3 Recámaras,2.0,2.0,3.0,0.0,58.0,3.0,0.05172413793103448
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-01,8022972.672,72936.1152,110,2 Recámaras,2.0,1.0,4.0,0.0,58.0,4.0,0.06896551724137931
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-02 - PT-05,8613352.615689654,82820.69822778513,104,2 Recámaras,2.0,1.0,16.0,0.0,58.0,16.0,0.27586206896551724
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-06 - PT-07,9401315.528947368,83940.31722274436,112,2 Recámaras,2.0,1.0,8.0,1.0,58.0,7.0,0.1206896551724138
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-08,9031515.625263158,84406.68808657158,107,2 Recámaras,2.0,1.0,2.0,0.0,58.0,2.0,0.034482758620689655
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-09,10847549.496842107,85413.77556568588,127,3 Recámaras,2.0,1.0,1.0,1.0,58.0,0.0,0.0
CAB-05678,Wen Living ,Awen Developers,Tradicional,Energy A,11336662.5,59666.64473684211,190,2 Recámaras,2.0,1.0,3.0,1.0,41.0,2.0,0.04878048780487805
CAB-05678,Wen Living ,Awen Developers,Tradicional,Energy B,13621079.989062501,83564.9079083589,163,2 Recámaras,2.0,1.0,3.0,0.0,41.0,3.0,0.07317073170731707
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity A,21942454.483809523,102057.9278316722,215,2 Recámaras,2.0,1.0,2.0,2.0,41.0,0.0,0.0
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity B,13960345.263157895,84098.4654407102,166,2 Recámaras,2.0,1.0,4.0,0.0,41.0,4.0,0.0975609756097561
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity C,13526257.267857144,71567.49877173091,189,2 Recámaras,2.0,1.0,1.0,1.0,41.0,0.0,0.0
